movie_title,genre_list,duration
Avatar ,"<Action,Adventure,Fantasy,Sci-Fi>",178.0
Pirates of the Caribbean: At World's End ,"<Action,Adventure,Fantasy>",169.0
Spectre ,"<Action,Adventure,Thriller>",148.0
The Dark Knight Rises ,"<Action,Thriller>",164.0
John Carter ,"<Action,Adventure,Sci-Fi>",132.0
Spider-Man 3 ,"<Action,Adventure,Romance>",156.0
Tangled ,"<Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance>",100.0
Avengers: Age of Ultron ,"<Action,Adventure,Sci-Fi>",141.0
Harry Potter and the Half-Blood Prince ,"<Adventure,Family,Fantasy,Mystery>",153.0
Batman v Superman: Dawn of Justice ,"<Action,Adventure,Sci-Fi>",183.0
Superman Returns ,"<Action,Adventure,Sci-Fi>",169.0
Quantum of Solace ,"<Action,Adventure>",106.0
Pirates of the Caribbean: Dead Man's Chest ,"<Action,Adventure,Fantasy>",151.0
The Lone Ranger ,"<Action,Adventure,Western>",150.0
Man of Steel ,"<Action,Adventure,Fantasy,Sci-Fi>",143.0
The Chronicles of Narnia: Prince Caspian ,"<Action,Adventure,Family,Fantasy>",150.0
The Avengers ,"<Action,Adventure,Sci-Fi>",173.0
Pirates of the Caribbean: On Stranger Tides ,"<Action,Adventure,Fantasy>",136.0
Men in Black 3 ,"<Action,Adventure,Comedy,Family,Fantasy,Sci-Fi>",106.0
The Hobbit: The Battle of the Five Armies ,"<Adventure,Fantasy>",164.0
The Amazing Spider-Man ,"<Action,Adventure,Fantasy>",153.0
Robin Hood ,"<Action,Adventure,Drama,History>",156.0
The Hobbit: The Desolation of Smaug ,"<Adventure,Fantasy>",186.0
The Golden Compass ,"<Adventure,Family,Fantasy>",113.0
King Kong ,"<Action,Adventure,Drama,Romance>",201.0
Titanic ,"<Drama,Romance>",194.0
Captain America: Civil War ,"<Action,Adventure,Sci-Fi>",147.0
Battleship ,"<Action,Adventure,Sci-Fi,Thriller>",131.0
Jurassic World ,"<Action,Adventure,Sci-Fi,Thriller>",124.0
Skyfall ,"<Action,Adventure,Thriller>",143.0
Spider-Man 2 ,"<Action,Adventure,Fantasy,Romance>",135.0
Iron Man 3 ,"<Action,Adventure,Sci-Fi>",195.0
Alice in Wonderland ,"<Adventure,Family,Fantasy>",108.0
X-Men: The Last Stand ,"<Action,Adventure,Fantasy,Sci-Fi,Thriller>",104.0
Monsters University ,"<Adventure,Animation,Comedy,Family,Fantasy>",104.0
Transformers: Revenge of the Fallen ,"<Action,Adventure,Sci-Fi>",150.0
Transformers: Age of Extinction ,"<Action,Adventure,Sci-Fi>",165.0
Oz the Great and Powerful ,"<Adventure,Family,Fantasy>",130.0
The Amazing Spider-Man 2 ,"<Action,Adventure,Fantasy,Sci-Fi>",142.0
TRON: Legacy ,"<Action,Adventure,Sci-Fi>",125.0
Cars 2 ,"<Adventure,Animation,Comedy,Family,Sport>",106.0
Green Lantern ,"<Action,Adventure,Sci-Fi>",123.0
Toy Story 3 ,"<Adventure,Animation,Comedy,Family,Fantasy>",103.0
Terminator Salvation ,"<Action,Adventure,Sci-Fi>",118.0
Furious 7 ,"<Action,Crime,Thriller>",140.0
World War Z ,"<Action,Adventure,Horror,Sci-Fi,Thriller>",123.0
X-Men: Days of Future Past ,"<Action,Adventure,Fantasy,Sci-Fi,Thriller>",149.0
Star Trek Into Darkness ,"<Action,Adventure,Sci-Fi>",132.0
Jack the Giant Slayer ,"<Adventure,Fantasy>",114.0
The Great Gatsby ,"<Drama,Romance>",143.0
Prince of Persia: The Sands of Time ,"<Action,Adventure,Fantasy,Romance>",116.0
Pacific Rim ,"<Action,Adventure,Sci-Fi>",131.0
Transformers: Dark of the Moon ,"<Action,Adventure,Sci-Fi>",154.0
Indiana Jones and the Kingdom of the Crystal Skull ,"<Action,Adventure,Fantasy>",122.0
The Good Dinosaur ,"<Adventure,Animation,Comedy,Family,Fantasy>",93.0
Brave ,"<Adventure,Animation,Comedy,Family,Fantasy>",93.0
Star Trek Beyond ,"<Action,Adventure,Sci-Fi,Thriller>",122.0
WALL·E ,"<Adventure,Animation,Family,Sci-Fi>",98.0
Rush Hour 3 ,"<Action,Comedy,Crime,Thriller>",91.0
2012 ,"<Action,Adventure,Sci-Fi>",158.0
A Christmas Carol ,"<Animation,Drama,Family,Fantasy>",96.0
Jupiter Ascending ,"<Action,Adventure,Sci-Fi>",127.0
The Legend of Tarzan ,"<Action,Adventure,Drama,Romance>",110.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","<Adventure,Family,Fantasy>",150.0
X-Men: Apocalypse ,"<Action,Adventure,Sci-Fi>",144.0
The Dark Knight ,"<Action,Crime,Drama,Thriller>",152.0
